,time,lat,lon,dev_acc_d
22551,2022-03-22 14:32:39,29.7526229,60.5805604,1120.57189
22552,2022-03-22 14:32:44,29.7517574,60.5818969,1120.73291
22553,2022-03-22 14:32:49,29.7508727,60.5832374,1120.89551
22554,2022-03-22 14:32:54,29.7499837,60.5846023,1121.06029
22555,2022-03-22 14:32:59,29.7490919,60.5859859,1121.2267
22556,2022-03-22 14:33:04,29.7481977,60.5873904,1121.39489
22557,2022-03-22 14:33:09,29.7472841,60.5888079,1121.56538
22558,2022-03-22 14:33:14,29.7463654,60.5902223,1121.73596
22559,2022-03-22 14:33:19,29.7454595,60.5916248,1121.90478
22560,2022-03-22 14:33:24,29.7445895,60.5929629,1122.06622
22561,2022-03-22 14:33:29,29.7437262,60.5942989,1122.22706
22562,2022-03-22 14:33:34,29.7428867,60.595572,1122.38145
22563,2022-03-22 14:33:39,29.7420709,60.5968112,1122.53164
22564,2022-03-22 14:33:44,29.741251,60.5980737,1122.6839
22565,2022-03-22 14:33:49,29.7404159,60.5993607,1122.83907
22566,2022-03-22 14:33:54,29.739571,60.6006698,1122.9966
22567,2022-03-22 14:33:59,29.7387211,60.6019846,1123.15491
22568,2022-03-22 14:34:04,29.7378508,60.6033217,1123.3163
22569,2022-03-22 14:34:09,29.7369634,60.6046749,1123.48008
22570,2022-03-22 14:34:14,29.7360587,60.6060405,1123.64598
22571,2022-03-22 14:34:19,29.7351386,60.6073795,1123.8109
22572,2022-03-22 14:34:24,29.7342218,60.6087056,1123.97462
22573,2022-03-22 14:34:29,29.7333233,60.6100311,1124.13703
22574,2022-03-22 14:34:34,29.7324179,60.6113601,1124.30019
22575,2022-03-22 14:34:39,29.7315176,60.6126841,1124.46261
22576,2022-03-22 14:34:44,29.7306241,60.6139947,1124.62355
22577,2022-03-22 14:34:49,29.7297063,60.6153281,1124.7879
22578,2022-03-22 14:34:54,29.7287826,60.6166628,1124.95275
22579,2022-03-22 14:34:59,29.727853,60.6180155,1125.11937
22580,2022-03-22 14:35:04,29.7269145,60.6193899,1125.28825
22581,2022-03-22 14:35:09,29.7259878,60.6207417,1125.45461
22582,2022-03-22 14:35:14,29.7250661,60.6221296,1125.62338
22583,2022-03-22 14:35:19,29.7241625,60.6235604,1125.79426
22584,2022-03-22 14:35:24,29.7232723,60.6250352,1125.96775
22585,2022-03-22 14:35:29,29.722391,60.6264771,1126.13807
22586,2022-03-22 14:35:34,29.721533,60.6279389,1126.3085
22587,2022-03-22 14:35:39,29.7206928,60.6293704,1126.4754
22588,2022-03-22 14:35:44,29.719897,60.6307167,1126.63272
22589,2022-03-22 14:35:49,29.7191173,60.6320269,1126.78615
22590,2022-03-22 14:35:54,29.7183351,60.6333382,1126.93982
22591,2022-03-22 14:35:59,29.7175619,60.6346486,1127.09286
22592,2022-03-22 14:36:04,29.7167811,60.6359699,1127.24724
22593,2022-03-22 14:36:09,29.7160129,60.6372845,1127.4003
22594,2022-03-22 14:36:14,29.7152122,60.638595,1127.55509
22595,2022-03-22 14:36:19,29.7144505,60.6398848,1127.70576
22596,2022-03-22 14:36:24,29.7136943,60.6411605,1127.85497
